frequency_hz,aoa_deg,temporal_equivalent_candidates,joint_equivalent_candidates,rate_group,rate_count
300000000.0,-60.0,6,6,200 MHz,1
300000000.0,-58.0,6,6,200 MHz,1
300000000.0,-56.0,6,6,200 MHz,1
300000000.0,-54.0,6,6,200 MHz,1
300000000.0,-52.0,6,6,200 MHz,1
300000000.0,-50.0,6,6,200 MHz,1
300000000.0,-48.0,6,6,200 MHz,1
300000000.0,-46.0,6,6,200 MHz,1
300000000.0,-44.0,6,6,200 MHz,1
300000000.0,-42.0,6,6,200 MHz,1
300000000.0,-40.0,6,6,200 MHz,1
300000000.0,-38.0,6,6,200 MHz,1
300000000.0,-36.0,6,6,200 MHz,1
300000000.0,-34.0,6,6,200 MHz,1
300000000.0,-32.0,6,6,200 MHz,1
300000000.0,-30.0,6,6,200 MHz,1
300000000.0,-28.0,6,6,200 MHz,1
300000000.0,-26.0,6,6,200 MHz,1
300000000.0,-24.0,6,6,200 MHz,1
300000000.0,-22.0,6,6,200 MHz,1
300000000.0,-20.0,6,6,200 MHz,1
300000000.0,-18.0,6,6,200 MHz,1
300000000.0,-16.0,6,6,200 MHz,1
300000000.0,-14.0,6,6,200 MHz,1
300000000.0,-12.0,6,6,200 MHz,1
300000000.0,-10.0,6,6,200 MHz,1
300000000.0,-8.0,6,6,200 MHz,1
300000000.0,-6.0,6,6,200 MHz,1
300000000.0,-4.0,6,6,200 MHz,1
300000000.0,-2.0,6,6,200 MHz,1
300000000.0,0.0,6,6,200 MHz,1
300000000.0,2.0,6,6,200 MHz,1
300000000.0,4.0,6,6,200 MHz,1
300000000.0,6.0,6,6,200 MHz,1
300000000.0,8.0,6,6,200 MHz,1
300000000.0,10.0,6,6,200 MHz,1
300000000.0,12.0,6,6,200 MHz,1
300000000.0,14.0,6,6,200 MHz,1
300000000.0,16.0,6,6,200 MHz,1
300000000.0,18.0,6,6,200 MHz,1
300000000.0,20.0,6,6,200 MHz,1
300000000.0,22.0,6,6,200 MHz,1
300000000.0,24.0,6,6,200 MHz,1
300000000.0,26.0,6,6,200 MHz,1
300000000.0,28.0,6,6,200 MHz,1
300000000.0,30.0,6,6,200 MHz,1
300000000.0,32.0,6,6,200 MHz,1
300000000.0,34.0,6,6,200 MHz,1
300000000.0,36.0,6,6,200 MHz,1
300000000.0,38.0,6,6,200 MHz,1
300000000.0,40.0,6,6,200 MHz,1
300000000.0,42.0,6,6,200 MHz,1
300000000.0,44.0,6,6,200 MHz,1
300000000.0,46.0,6,6,200 MHz,1
300000000.0,48.0,6,6,200 MHz,1
300000000.0,50.0,6,6,200 MHz,1
300000000.0,52.0,6,6,200 MHz,1
300000000.0,54.0,6,6,200 MHz,1
300000000.0,56.0,6,6,200 MHz,1
300000000.0,58.0,6,6,200 MHz,1
300000000.0,60.0,6,6,200 MHz,1
305000000.0,-60.0,5,5,200 MHz,1
305000000.0,-58.0,5,5,200 MHz,1
305000000.0,-56.0,5,5,200 MHz,1
305000000.0,-54.0,5,5,200 MHz,1
305000000.0,-52.0,5,5,200 MHz,1
305000000.0,-50.0,5,5,200 MHz,1
305000000.0,-48.0,5,5,200 MHz,1
305000000.0,-46.0,5,5,200 MHz,1
305000000.0,-44.0,5,5,200 MHz,1
305000000.0,-42.0,5,5,200 MHz,1
305000000.0,-40.0,5,5,200 MHz,1
305000000.0,-38.0,5,5,200 MHz,1
305000000.0,-36.0,5,5,200 MHz,1
305000000.0,-34.0,5,5,200 MHz,1
305000000.0,-32.0,5,5,200 MHz,1
305000000.0,-30.0,5,5,200 MHz,1
305000000.0,-28.0,5,5,200 MHz,1
305000000.0,-26.0,5,5,200 MHz,1
305000000.0,-24.0,5,5,200 MHz,1
305000000.0,-22.0,5,5,200 MHz,1
305000000.0,-20.0,5,5,200 MHz,1
305000000.0,-18.0,5,5,200 MHz,1
305000000.0,-16.0,5,5,200 MHz,1
305000000.0,-14.0,5,5,200 MHz,1
305000000.0,-12.0,5,5,200 MHz,1
305000000.0,-10.0,5,5,200 MHz,1
305000000.0,-8.0,5,5,200 MHz,1
305000000.0,-6.0,5,5,200 MHz,1
305000000.0,-4.0,5,5,200 MHz,1
305000000.0,-2.0,5,5,200 MHz,1
305000000.0,0.0,5,5,200 MHz,1
305000000.0,2.0,5,5,200 MHz,1
305000000.0,4.0,5,5,200 MHz,1
305000000.0,6.0,5,5,200 MHz,1
305000000.0,8.0,5,5,200 MHz,1
305000000.0,10.0,5,5,200 MHz,1
305000000.0,12.0,5,5,200 MHz,1
305000000.0,14.0,5,5,200 MHz,1
305000000.0,16.0,5,5,200 MHz,1
305000000.0,18.0,5,5,200 MHz,1
305000000.0,20.0,5,5,200 MHz,1
305000000.0,22.0,5,5,200 MHz,1
305000000.0,24.0,5,5,200 MHz,1
305000000.0,26.0,5,5,200 MHz,1
305000000.0,28.0,5,5,200 MHz,1
305000000.0,30.0,5,5,200 MHz,1
305000000.0,32.0,5,5,200 MHz,1
305000000.0,34.0,5,5,200 MHz,1
305000000.0,36.0,5,5,200 MHz,1
305000000.0,38.0,5,5,200 MHz,1
305000000.0,40.0,5,5,200 MHz,1
305000000.0,42.0,5,5,200 MHz,1
305000000.0,44.0,5,5,200 MHz,1
305000000.0,46.0,5,5,200 MHz,1
305000000.0,48.0,5,5,200 MHz,1
305000000.0,50.0,5,5,200 MHz,1
305000000.0,52.0,5,5,200 MHz,1
305000000.0,54.0,5,5,200 MHz,1
305000000.0,56.0,5,5,200 MHz,1
305000000.0,58.0,5,5,200 MHz,1
305000000.0,60.0,5,5,200 MHz,1
310000000.0,-60.0,5,5,200 MHz,1
310000000.0,-58.0,5,5,200 MHz,1
310000000.0,-56.0,5,5,200 MHz,1
310000000.0,-54.0,5,5,200 MHz,1
310000000.0,-52.0,5,5,200 MHz,1
310000000.0,-50.0,5,5,200 MHz,1
310000000.0,-48.0,5,5,200 MHz,1
310000000.0,-46.0,5,5,200 MHz,1
310000000.0,-44.0,5,5,200 MHz,1
310000000.0,-42.0,5,5,200 MHz,1
310000000.0,-40.0,5,5,200 MHz,1
310000000.0,-38.0,5,5,200 MHz,1
310000000.0,-36.0,5,5,200 MHz,1
310000000.0,-34.0,5,5,200 MHz,1
310000000.0,-32.0,5,5,200 MHz,1
310000000.0,-30.0,5,5,200 MHz,1
310000000.0,-28.0,5,5,200 MHz,1
310000000.0,-26.0,5,5,200 MHz,1
310000000.0,-24.0,5,5,200 MHz,1
310000000.0,-22.0,5,5,200 MHz,1
310000000.0,-20.0,5,5,200 MHz,1
310000000.0,-18.0,5,5,200 MHz,1
310000000.0,-16.0,5,5,200 MHz,1
310000000.0,-14.0,5,5,200 MHz,1
310000000.0,-12.0,5,5,200 MHz,1
310000000.0,-10.0,5,5,200 MHz,1
310000000.0,-8.0,5,5,200 MHz,1
310000000.0,-6.0,5,5,200 MHz,1
310000000.0,-4.0,5,5,200 MHz,1
310000000.0,-2.0,5,5,200 MHz,1
310000000.0,0.0,5,5,200 MHz,1
310000000.0,2.0,5,5,200 MHz,1
310000000.0,4.0,5,5,200 MHz,1
310000000.0,6.0,5,5,200 MHz,1
310000000.0,8.0,5,5,200 MHz,1
310000000.0,10.0,5,5,200 MHz,1
310000000.0,12.0,5,5,200 MHz,1
310000000.0,14.0,5,5,200 MHz,1
310000000.0,16.0,5,5,200 MHz,1
310000000.0,18.0,5,5,200 MHz,1
310000000.0,20.0,5,5,200 MHz,1
310000000.0,22.0,5,5,200 MHz,1
310000000.0,24.0,5,5,200 MHz,1
310000000.0,26.0,5,5,200 MHz,1
