combination_id,sampling_rates_mhz,num_rates,sum_sampling_rate_mhz,max_sampling_rate_mhz,gcd_mhz,lcm_mhz,temporal_period_mhz,temporal_unique_coverage,joint_unique_coverage,spatial_absolute_gain,resolve_rate_among_temporal_ambiguous,mean_temporal_candidates,median_temporal_candidates,p90_temporal_candidates,p95_temporal_candidates,max_temporal_candidates,mean_joint_candidates,median_joint_candidates,p90_joint_candidates,p95_joint_candidates,max_joint_candidates,mean_candidate_reduction,median_candidate_reduction,p10_candidate_reduction,p90_candidate_reduction,temporal_margin_min,temporal_margin_p05,temporal_margin_p10,temporal_margin_median,temporal_margin_mean,joint_margin_min,joint_margin_p05,joint_margin_p10,joint_margin_median,joint_margin_mean,broadside_joint_coverage,off_broadside_joint_coverage,runtime_seconds,status,category,is_pareto_optimal
r_20,20,1,20,20,20,20,20,0.0,0.0006524753282766496,0.0006524753282766496,0.0006524753282766496,50.25373134328358,50.0,51.0,51.0,51.0,40.0891444417258,45.0,50.0,51.0,51.0,0.20225500590905968,0.09999999999999998,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.5807765515695135e-05,0.00010654692981287476,0.0008447497581013751,0.0015180977684723874,0.0,0.0007960199004975124,0.39688419993035495,ok,D,True
r_25,25,1,25,25,25,25,25,0.0,0.0008155941603458119,0.0008155941603458119,0.0008155941603458119,40.20398009950249,40.0,41.0,41.0,41.0,32.07446374683957,36.0,40.0,41.0,41.0,0.20219235688809056,0.09999999999999998,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.028358592737705e-05,0.00011913774483619905,0.0010534496241217176,0.0017848843743839436,0.0,0.0009950248756218905,0.32176560000516474,ok,D,True
r_30,30,1,30,30,30,30,30,0.0,0.0019574259848299485,0.0019574259848299485,0.0019574259848299485,33.507462686567166,34.0,34.0,34.0,34.0,26.73134328358209,30.0,34.0,34.0,34.0,0.20219451528192298,0.09090909090909094,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,6.604798796391181e-05,0.0001628058623576485,0.0012748752088092854,0.0020288547796942042,0.0,0.0023880597014925373,0.2715982000809163,ok,D,True
r_32,32,1,32,32,32,32,32,0.0,0.0022836636489682732,0.0022836636489682732,0.0022836636489682732,31.28855721393035,31.0,32.0,32.0,32.0,24.980262621319632,28.0,32.0,32.0,32.0,0.20158906025136086,0.09677419354838712,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0003825564503176758,0.0010274463570430967,0.007580204752517239,0.012021381957785925,0.0,0.0027860696517412937,0.12228679994586855,ok,D,True
r_35,35,1,35,35,35,35,35,0.0,0.0022836636489682732,0.0022836636489682732,0.0022836636489682732,28.72139303482587,29.0,29.0,29.0,29.0,22.922681673599218,26.0,29.0,29.0,29.0,0.20186035822663312,0.10344827586206895,0.0,0.5862068965517242,0.0,0.0,0.0,0.0,0.0,0.0,8.157499324530595e-05,0.0002174771540486149,0.0014949298067728214,0.0026992324239987074,0.0,0.0027860696517412937,0.2351253000088036,ok,D,True
r_40,40,1,40,40,40,40,40,0.0,0.0026099013131065983,0.0026099013131065983,0.0026099013131065983,25.129353233830845,25.0,26.0,26.0,26.0,20.058151863632656,23.0,25.0,25.0,26.0,0.20178125764619526,0.07999999999999996,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.600238849271487e-05,0.00023004507991076711,0.0017927692984636482,0.0031698558461913605,0.0,0.0031840796019900496,0.20575910003390163,ok,D,True
r_20_25,20+25,2,45,25,5,100,100,0.0,0.013049506565532991,0.013049506565532991,0.013049506565532991,10.054726368159203,10.0,10.0,11.0,11.0,8.051300872685752,9.0,10.0,10.0,11.0,0.19917995714423412,0.09999999999999998,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.00020136934859858594,0.0005824994667945201,0.004545025386745986,0.007696518045261762,0.0,0.015920398009950248,0.1505472999997437,ok,D,True
r_20_32,20+32,2,52,32,4,160,160,0.0,0.03131881575727918,0.03131881575727918,0.03131881575727918,6.313432835820896,6.0,7.0,7.0,7.0,5.077481445232852,6.0,7.0,7.0,7.0,0.19500467995696769,0.1428571428571429,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0003825564503176758,0.0010274463570430967,0.007580204752517239,0.012438068080854786,0.0,0.0382089552238806,0.12807640002574772,ok,D,True
r_25_32,25+32,2,57,32,1,800,800,0.5920398009950248,0.7401517005138243,0.14811189951879944,0.3630547780887645,1.407960199004975,1.0,2.0,2.0,2.0,1.2598482994861757,1.0,2.0,2.0,2.0,0.18152738904438226,0.0,0.0,0.5,0.0,0.0,0.0,0.02209708691207961,0.013082354937997386,0.0,0.009185492316162292,0.01562821134607995,0.02034561039407594,0.024314291194361595,0.5920398009950248,0.7727363184079602,0.1362163000740111,ok,D,True
r_30_32,30+32,2,62,32,2,480,480,0.0,0.2588695864937607,0.2588695864937607,0.2588695864937607,2.1343283582089554,2.0,3.0,3.0,3.0,1.8102112388875296,2.0,2.0,3.0,3.0,0.1477584753826496,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00207920869882378,0.005110415871832385,0.03126930622532881,0.026535144382738962,0.0,0.31582089552238807,0.13672199996653944,ok,D,True
r_32_35,32+35,2,67,35,1,1120,1120,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.022097086912079622,0.015625,0.015688967074533502,0.015968533488669435,0.027554956443423883,0.029656969873593942,1.0,1.0,0.1468869000673294,ok,C,True
r_20_25_35,20+25+35,3,80,35,5,700,700,0.39303482587064675,0.5988907919419297,0.20585596607128298,0.33915614082235956,1.6069651741293531,2.0,2.0,2.0,2.0,1.4011092080580703,1.0,2.0,2.0,2.0,0.16957807041117978,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.03241696607390223,0.0,0.005554374818442707,0.012327630613491607,0.058418856687280654,0.04797809087506236,0.39303482587064675,0.644179104477612,0.1278298000106588,ok,D,True
