combination_id,sampling_rates_mhz,num_rates,sum_sampling_rate_mhz,max_sampling_rate_mhz,gcd_mhz,lcm_mhz,temporal_period_mhz,temporal_unique_coverage,joint_unique_coverage,spatial_absolute_gain,resolve_rate_among_temporal_ambiguous,mean_temporal_candidates,median_temporal_candidates,p90_temporal_candidates,p95_temporal_candidates,max_temporal_candidates,mean_joint_candidates,median_joint_candidates,p90_joint_candidates,p95_joint_candidates,max_joint_candidates,mean_candidate_reduction,median_candidate_reduction,p10_candidate_reduction,p90_candidate_reduction,temporal_margin_min,temporal_margin_p05,temporal_margin_p10,temporal_margin_median,temporal_margin_mean,joint_margin_min,joint_margin_p05,joint_margin_p10,joint_margin_median,joint_margin_mean,broadside_joint_coverage,off_broadside_joint_coverage,runtime_seconds,status,category,is_pareto_optimal
r_32_35,32+35,2,67,35,1,1120,1120,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.022097086912079622,0.015625,0.015688967074533502,0.015968533488669435,0.027554956443423883,0.029656969873593942,1.0,1.0,0.1468869000673294,ok,C,True
r_25_48,25+48,2,73,48,1,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01473139127471974,0.01473139127471974,0.01473139127471974,0.01473139127471974,0.01685681588649522,0.010416666666666666,0.010543518861970667,0.011099123863792004,0.02156735182480048,0.02253952775536749,1.0,1.0,0.13887270004488528,ok,C,False
r_32_45,32+45,2,77,45,1,1440,1440,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.022097086912079622,0.015625,0.015675825573379928,0.015947496204238836,0.025023045989136367,0.02856473543788181,1.0,1.0,0.16321350005455315,ok,C,False
r_35_48,35+48,2,83,48,1,1680,1680,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01473139127471974,0.01473139127471974,0.01473139127471974,0.01473139127471974,0.01473139127471974,0.010416666666666666,0.010576877691247039,0.011309635008457358,0.02602103227998911,0.02934378231058516,1.0,1.0,0.14293109998106956,ok,C,False
r_20_32_35,20+32+35,3,87,35,1,1120,1120,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07216878364870322,0.07216878364870322,0.07216878364870322,0.07216878364870322,0.07216878364870323,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.05368169064717474,0.056269217263033695,1.0,1.0,0.1484978999942541,ok,C,True
r_25_30_32,25+30+32,3,87,32,1,2400,2400,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03608439182435161,0.03608439182435161,0.03608439182435161,0.03608439182435161,0.036084391824351615,0.021114881390733527,0.025577508560344638,0.02594510355199632,0.03964248231201074,0.0473832878756588,1.0,1.0,0.14422189991455525,ok,C,True
r_25_64,25+64,2,89,64,1,1600,1600,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011048543456039806,0.011048543456039806,0.011048543456039806,0.011048543456039806,0.012642611914871423,0.0078125,0.00834206296456665,0.010707134515721826,0.023508171356206392,0.023975087973248706,1.0,1.0,0.14844140002969652,ok,C,False
r_25_30_35,25+30+35,3,90,35,5,1050,1050,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08247860988423225,0.08247860988423225,0.08247860988423225,0.08247860988423225,0.08247860988423227,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.05976782372449606,0.060391477940746584,1.0,1.0,0.14402710006106645,ok,C,False
r_25_32_35,25+32+35,3,92,35,1,5600,5600,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03608439182435161,0.03608439182435161,0.03608439182435161,0.03608439182435161,0.036084391824351615,0.021114881390733527,0.02554626399598299,0.025784133566477154,0.03540423700693146,0.04235808117345996,1.0,1.0,0.15108669991604984,ok,C,False
r_20_25_48,20+25+48,3,93,48,1,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.048112522432468816,0.048112522432468816,0.048112522432468816,0.048112522432468816,0.048112522432468816,0.021114881390733527,0.034020690871988585,0.03404688658725494,0.0366621439777741,0.04037172886091811,1.0,1.0,0.14343990001361817,ok,C,False
r_35_75,35+75,2,110,75,5,525,525,0.04477611940298507,0.3220781339205611,0.277302014517576,0.29030054644808745,1.955223880597015,2.0,2.0,2.0,2.0,1.6779218660794388,2.0,2.0,2.0,2.0,0.14515027322404372,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0021107665110046193,0.0,0.002458753935721719,0.006334112474841163,0.03339210529966281,0.027998725264262947,0.04477611940298507,0.38308457711442784,0.13962230004835874,ok,D,True
r_25_35_75,25+35+75,3,135,75,5,525,525,0.04477611940298507,0.3220781339205611,0.277302014517576,0.29030054644808745,1.955223880597015,2.0,2.0,2.0,2.0,1.6779218660794388,2.0,2.0,2.0,2.0,0.14515027322404372,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0036930720843686084,0.0,0.002458753935721719,0.006334112474841163,0.03985456072880299,0.038248000843612816,0.04477611940298507,0.38308457711442784,0.15288960002362728,ok,D,False
r_35_80,35+80,2,115,80,5,560,560,0.11442786069651742,0.3811271511295979,0.2666992904330805,0.30116043470252346,1.8855721393034826,2.0,2.0,2.0,2.0,1.618872848870402,2.0,2.0,2.0,2.0,0.15058021735126173,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.005057044765948569,0.0,0.0029730891066535366,0.0070096930126610805,0.03147602375733286,0.02978324446488508,0.11442786069651742,0.43980099502487563,0.15292659995611757,ok,D,True
r_20_35_80,20+35+80,3,135,80,5,560,560,0.11442786069651742,0.3811271511295979,0.2666992904330805,0.30116043470252346,1.8855721393034826,2.0,2.0,2.0,2.0,1.618872848870402,2.0,2.0,2.0,2.0,0.15058021735126173,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.009437850882275332,0.0,0.0029730891066535366,0.0070096930126610805,0.045445489988031045,0.041992920378700484,0.11442786069651742,0.43980099502487563,0.15253520000260323,ok,D,False
r_35_40_80,35+40+80,3,155,80,5,560,560,0.11442786069651742,0.3811271511295979,0.2666992904330805,0.30116043470252346,1.8855721393034826,2.0,2.0,2.0,2.0,1.618872848870402,2.0,2.0,2.0,2.0,0.15058021735126173,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.009232858308744879,0.0,0.0029730891066535366,0.0070096930126610805,0.045445489988031045,0.04079285425736262,0.11442786069651742,0.43980099502487563,0.1646572999889031,ok,D,False
r_20_35_40_80,20+35+40+80,4,175,80,5,560,560,0.11442786069651742,0.3811271511295979,0.2666992904330805,0.30116043470252346,1.8855721393034826,2.0,2.0,2.0,2.0,1.618872848870402,2.0,2.0,2.0,2.0,0.15058021735126173,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.008173418621179814,0.0,0.0029730891066535366,0.0070096930126610805,0.045445489988031045,0.03924371708463752,0.11442786069651742,0.43980099502487563,0.1437521999469027,ok,D,False
r_30_32,30+32,2,62,32,2,480,480,0.0,0.2588695864937607,0.2588695864937607,0.2588695864937607,2.1343283582089554,2.0,3.0,3.0,3.0,1.8102112388875296,2.0,2.0,3.0,3.0,0.1477584753826496,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00207920869882378,0.005110415871832385,0.03126930622532881,0.026535144382738962,0.0,0.31582089552238807,0.13672199996653944,ok,D,True
r_20_30_32,20+30+32,3,82,32,2,480,480,0.0,0.2588695864937607,0.2588695864937607,0.2588695864937607,2.1343283582089554,2.0,3.0,3.0,3.0,1.8102112388875296,2.0,2.0,3.0,3.0,0.1477584753826496,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00207920869882378,0.005110415871832385,0.03412539342363735,0.033018037289766954,0.0,0.31582089552238807,0.14125450002029538,ok,D,False
r_32_60,32+60,2,92,60,4,480,480,0.0,0.2588695864937607,0.2588695864937607,0.2588695864937607,2.1343283582089554,2.0,3.0,3.0,3.0,1.8102112388875296,2.0,2.0,3.0,3.0,0.1477584753826496,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00207920869882378,0.005110415871832385,0.03412539342363735,0.03095730023685785,0.0,0.31582089552238807,0.16291230008937418,ok,D,False
r_20_32_48,20+32+48,3,100,48,4,480,480,0.0,0.2588695864937607,0.2588695864937607,0.2588695864937607,2.1343283582089554,2.0,3.0,3.0,3.0,1.8102112388875296,2.0,2.0,3.0,3.0,0.1477584753826496,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00207920869882378,0.005110415871832385,0.03412539342363735,0.03628010772240505,0.0,0.31582089552238807,0.16891909996047616,ok,D,False
