sampling_rates_mhz,frequency_hz,angle_deg,snr_db,observation_duration_s,snapshots_by_branch,sum_sampling_rate_mhz,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
32+35,800000000.0,30.0,0.0,1e-06,32+35,67,MUSIC,-0.5710549323228058,0.5710549323228058,0.5710549323228058,0.5710549323228058,0.5710549323228058,0.5710549323228058,1.0,1.0,0.0,0.0
32+35,800000000.0,30.0,0.0,2e-06,64+70,67,MUSIC,0.09935891389503837,0.09935891389503837,0.09935891389503837,0.09935891389503837,0.09935891389503837,0.09935891389503837,1.0,1.0,0.0,0.0
32+35,800000000.0,30.0,0.0,5e-06,160+175,67,MUSIC,0.33028988078484645,0.33028988078484645,0.33028988078484645,0.33028988078484645,0.33028988078484645,0.33028988078484645,1.0,1.0,0.0,0.0
32+35,800000000.0,30.0,0.0,1e-05,320+350,67,MUSIC,0.0026994972490257396,0.0026994972490257396,0.0026994972490257396,0.0026994972490257396,0.0026994972490257396,0.0026994972490257396,1.0,1.0,0.0,0.0
30+64,800000000.0,30.0,0.0,1e-06,30+64,94,MUSIC,0.601742061259916,0.601742061259916,0.601742061259916,0.601742061259916,0.601742061259916,0.601742061259916,1.0,1.0,0.0,0.0
30+64,800000000.0,30.0,0.0,2e-06,60+128,94,MUSIC,0.06692746959831553,0.06692746959831553,0.06692746959831553,0.06692746959831553,0.06692746959831553,0.06692746959831553,1.0,1.0,0.0,0.0
30+64,800000000.0,30.0,0.0,5e-06,150+320,94,MUSIC,-0.2561438596389678,0.2561438596389678,0.2561438596389678,0.2561438596389678,0.2561438596389678,0.2561438596389678,1.0,1.0,0.0,0.0
30+64,800000000.0,30.0,0.0,1e-05,300+640,94,MUSIC,0.15112000112178947,0.15112000112178947,0.15112000112178947,0.15112000112178947,0.15112000112178947,0.15112000112178947,1.0,1.0,0.0,0.0
35+75,800000000.0,30.0,0.0,1e-06,35+75,110,MUSIC,-0.8046955235635949,0.8046955235635949,0.8046955235635949,0.8046955235635949,0.8046955235635949,0.8046955235635949,1.0,1.0,0.0,0.0
35+75,800000000.0,30.0,0.0,2e-06,70+150,110,MUSIC,-0.07375445331823371,0.07375445331823371,0.07375445331823371,0.07375445331823371,0.07375445331823371,0.07375445331823371,1.0,1.0,0.0,0.0
