sampling_rates_mhz,frequency_hz,angle_deg,snr_db,snapshots_per_branch,num_branches,total_snapshots,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate,crb_rmse_deg,runtime_seconds
32+35,300000000.0,-50,-10,32,2,64,MUSIC,-1.6690783471045614,6.4473471222816015,7.22814752613619,5.443735948209401,10.078450549878271,10.431478024330495,0.0,0.0,0.5,0.0,5.302708216096335,0.06532349999815779
32+35,300000000.0,-50,-10,32,2,64,ESPRIT,-1.668397019284428,17.16052722135207,19.107620258162257,19.02970085586484,25.057977899925486,28.278678293270083,0.0,0.0,1.0,0.19999999999999996,5.302708216096335,0.0004972999995516147
32+35,300000000.0,-50,-10,128,2,256,MUSIC,0.2909426882334166,2.3602114173269575,2.7476926561654125,2.0855691721996443,4.648578177083778,4.6936800403419525,0.2,0.4,0.0,0.0,2.6513541080481673,0.07345569999961299
32+35,300000000.0,-50,-10,128,2,256,ESPRIT,-0.6529736689379562,2.058889390693544,2.9154716195391903,1.5462604947556642,3.0052862008094205,5.4692999247381255,0.2,0.7,0.1,0.0,2.6513541080481673,0.00043260000165901147
32+35,300000000.0,-50,-10,512,2,1024,MUSIC,-0.3983994127542367,1.178335300837609,1.6551688044088464,0.9990687529057709,2.0429056875019214,3.0721143990752697,0.5,0.9,0.0,0.0,1.3256770540240836,0.07005000000117434
32+35,300000000.0,-50,-10,512,2,1024,ESPRIT,-0.7318558482506106,1.3237500959025823,1.78831135001225,0.979282932826937,2.6471853961459675,3.4635996994634013,0.5,0.8,0.0,0.0,1.3256770540240836,0.00047929999982443405
32+35,300000000.0,-50,0,32,2,64,MUSIC,-0.8680795210985586,1.7944537814489288,2.53546822573053,1.0387923725656307,3.4693124341812065,4.649655821766261,0.5,0.6,0.1,0.0,1.6768635730152757,0.06601599999976315
32+35,300000000.0,-50,0,32,2,64,ESPRIT,-1.6564462658408607,2.543287646206969,3.0281681045822224,1.8571068432590359,5.2657846813922395,5.273466900075157,0.1,0.6,0.2,0.0,1.6768635730152757,0.0004407999995237333
32+35,300000000.0,-50,0,128,2,256,MUSIC,0.01868176070549623,0.681855088145386,0.8291172140240796,0.5534295514048289,1.463304257990527,1.491076898919675,0.8,1.0,0.0,0.0,0.8384317865076378,0.059393199998339696
32+35,300000000.0,-50,0,128,2,256,ESPRIT,-0.5671173844620057,0.769604187333276,0.9460987590724439,0.552267949699413,1.550682653198278,1.7139806013600587,0.7,1.0,0.0,0.0,0.8384317865076378,0.000420000000303844
32+35,300000000.0,-50,0,512,2,1024,MUSIC,-0.06863953747516476,0.24933730056471787,0.2884932418887281,0.22412465148515182,0.49451727024439335,0.5065149842847273,1.0,1.0,0.0,0.0,0.4192158932538189,0.07003449999774602
32+35,300000000.0,-50,0,512,2,1024,ESPRIT,-0.14000072139381176,0.4019412867861867,0.526291331193264,0.29821334497129115,0.654446666403828,0.9859805126172488,0.9,1.0,0.0,0.0,0.4192158932538189,0.000593499999922642
32+35,300000000.0,-50,10,32,2,64,MUSIC,-0.1772285475687987,0.47687095956751835,0.6719839927755091,0.24749004253263251,1.1300689404689712,1.2627116666285212,0.8,1.0,0.0,0.0,0.5302708216096333,0.07148279999910301
32+35,300000000.0,-50,10,32,2,64,ESPRIT,-0.42090398656997297,0.6464958149694902,0.7626781356782789,0.468837432047188,1.3934315533558141,1.442395937103148,0.8,1.0,0.0,0.0,0.5302708216096333,0.0004929000015181373
32+35,300000000.0,-50,10,128,2,256,MUSIC,0.01138384719843728,0.22490431972892466,0.2814323937571356,0.18269795225021568,0.46456462640404933,0.4952782364519457,1.0,1.0,0.0,0.0,0.2651354108048167,0.07005640000079438
32+35,300000000.0,-50,10,128,2,256,ESPRIT,-0.170157540013885,0.2206322949003848,0.30835482302660044,0.13028671741459874,0.49949594038346123,0.6090804410019854,1.0,1.0,0.0,0.0,0.2651354108048167,0.00045850000060454477
32+35,300000000.0,-50,10,512,2,1024,MUSIC,-0.0164539347959618,0.07330495258811283,0.08903581477041292,0.0520735322090502,0.16089199883513244,0.16299473670010975,1.0,1.0,0.0,0.0,0.13256770540240834,0.07435010000062903
32+35,300000000.0,-50,10,512,2,1024,ESPRIT,-0.03463609756815274,0.13763183776143323,0.17315193263456022,0.10982890800585565,0.22670194875104166,0.31373888803941286,1.0,1.0,0.0,0.0,0.13256770540240834,0.000496099998599675
32+35,300000000.0,-50,20,32,2,64,MUSIC,-0.04679520952861651,0.14246422652022375,0.20369553936993834,0.07659320350563092,0.3688617307817864,0.3858883484095933,1.0,1.0,0.0,0.0,0.1676863573015276,0.07269939999878261
32+35,300000000.0,-50,20,32,2,64,ESPRIT,-0.12489941685207526,0.19152645398379775,0.22829037358871127,0.15168421977513447,0.4117349146352552,0.43338111734442175,1.0,1.0,0.0,0.0,0.1676863573015276,0.00043109999933221843
32+35,300000000.0,-50,20,128,2,256,MUSIC,0.0041977612812488015,0.07367842258003066,0.091134722817982,0.05906938197600198,0.14392804335286086,0.15869127522660303,1.0,1.0,0.0,0.0,0.0838431786507638,0.06124630000158504
32+35,300000000.0,-50,20,128,2,256,ESPRIT,-0.05167937432566418,0.06799223702951736,0.09831076791767167,0.03642803726376442,0.15665964794303588,0.19725048706709378,1.0,1.0,0.0,0.0,0.0838431786507638,0.00046159999965311727
32+35,300000000.0,-50,20,512,2,1024,MUSIC,-0.0054584780920521325,0.022477641024363493,0.02799210572123471,0.019702480853734272,0.051461299753156456,0.05220696348727181,1.0,1.0,0.0,0.0,0.0419215893253819,0.062693599999875
32+35,300000000.0,-50,20,512,2,1024,ESPRIT,-0.009880709217242867,0.04447262300149148,0.0557555910674961,0.0370208121065545,0.07383988990395095,0.09932171967435716,1.0,1.0,0.0,0.0,0.0419215893253819,0.000440800000433228
32+35,300000000.0,-10,-10,32,2,64,MUSIC,1.950616952607622,7.903614258456237,10.553666216813205,5.397511916185455,12.982379093193853,20.187708134819168,0.0,0.0,0.7,0.0,3.461096979247161,0.06583589999991091
32+35,300000000.0,-10,-10,32,2,64,ESPRIT,8.207666467667464,12.621504300189088,18.341802225602297,8.904459289854906,24.755531516046503,36.488438213274954,0.2,0.2,0.8,0.0,3.461096979247161,0.0005281000021568616
32+35,300000000.0,-10,-10,128,2,256,MUSIC,1.5699262291242435,2.50802930447741,3.182740771109007,2.000465842610765,5.577180332426198,5.926702157701543,0.3,0.5,0.2,0.0,1.7305484896235805,0.065964399999757
32+35,300000000.0,-10,-10,128,2,256,ESPRIT,1.1112508518046902,4.48946184766746,4.9661348814732404,4.413628759833913,7.050334620411838,7.285644334329688,0.1,0.1,0.5,0.0,1.7305484896235805,0.0004407999986142386
32+35,300000000.0,-10,-10,512,2,1024,MUSIC,-0.2197688177208416,0.9922803681237191,1.3757978210325117,0.46833765142799066,2.301691194000318,2.662775589434135,0.6,0.8,0.0,0.0,0.8652742448117903,0.07088339999972959
32+35,300000000.0,-10,-10,512,2,1024,ESPRIT,-0.042328636595989975,1.604451544490491,1.795156037018945,1.4670569074070912,2.8255552214466704,3.048507326872826,0.2,0.8,0.0,0.0,0.8652742448117903,0.0006150999997771578
32+35,300000000.0,-10,0,32,2,64,MUSIC,-0.5371376403326871,1.2230701438625935,1.4961620187279174,0.8162652511757349,1.9517275382836416,2.5860672953190336,0.6,0.9,0.0,0.0,1.0944949657149559,0.071076100000937
32+35,300000000.0,-10,0,32,2,64,ESPRIT,-0.1446127792262688,1.633631659687231,1.8823546044788235,1.681380414183086,2.6243442108878736,2.8944212338108706,0.3,0.6,0.0,0.0,1.0944949657149559,0.0005413999988377327
32+35,300000000.0,-10,0,128,2,256,MUSIC,0.49219622429056287,0.5818606350585853,0.699810176137862,0.5447958203659793,1.0978802905828031,1.2129828399586249,0.8,1.0,0.0,0.0,0.5472474828574779,0.07346490000145423
32+35,300000000.0,-10,0,128,2,256,ESPRIT,0.17008702150611316,0.7348020612347819,0.8285976450042393,0.6964976246839765,1.2432286991541355,1.3104309773080967,0.7,1.0,0.0,0.0,0.5472474828574779,0.0005498999989868025
32+35,300000000.0,-10,0,512,2,1024,MUSIC,-0.022885711395132624,0.33285305852244473,0.3655804784027942,0.2794920310745601,0.5536378998306586,0.6201778425651449,1.0,1.0,0.0,0.0,0.27362374142873896,0.0678764999993291
32+35,300000000.0,-10,0,512,2,1024,ESPRIT,0.023545083546168043,0.42382895065997417,0.49354050453303283,0.34550387552443684,0.8160708699559188,0.8768740127276411,1.0,1.0,0.0,0.0,0.27362374142873896,0.0006236999997781822
32+35,300000000.0,-10,10,32,2,64,MUSIC,-0.19315026081004322,0.3772374622537688,0.4467879461119031,0.29607767232571636,0.6701339511011809,0.770298721735266,1.0,1.0,0.0,0.0,0.3461096979247161,0.06520349999937025
32+35,300000000.0,-10,10,32,2,64,ESPRIT,-0.0844541637847998,0.49401827871933773,0.5626020650094833,0.4877924125173907,0.8431391936870186,0.8687217890165352,1.0,1.0,0.0,0.0,0.3461096979247161,0.0004958999998052604
32+35,300000000.0,-10,10,128,2,256,MUSIC,0.15139953301985987,0.1664361257286215,0.20435483613284752,0.1648582121879194,0.31236446557032255,0.3383683336336354,1.0,1.0,0.0,0.0,0.17305484896235804,0.07892629999878409
32+35,300000000.0,-10,10,128,2,256,ESPRIT,0.04198338217811699,0.1979691200194617,0.21861195192183897,0.19468940093834952,0.34138423893633496,0.34572317042480255,1.0,1.0,0.0,0.0,0.17305484896235804,0.0006383000009009265
32+35,300000000.0,-10,10,512,2,1024,MUSIC,-0.0010543509565835052,0.11060408424024751,0.11592917086561329,0.0942016678322215,0.15794783157495845,0.1748111752917812,1.0,1.0,0.0,0.0,0.08652742448117902,0.07737749999978405
32+35,300000000.0,-10,10,512,2,1024,ESPRIT,0.013053191408841336,0.13837290517281228,0.15990008018807447,0.12689634866407218,0.2448067744423918,0.2715261542548264,1.0,1.0,0.0,0.0,0.08652742448117902,0.0005989999990561046
32+35,300000000.0,-10,20,32,2,64,MUSIC,-0.06351979959322804,0.11850010915800731,0.13991420423531212,0.09769311870959196,0.22148294552669137,0.24037115849753374,1.0,1.0,0.0,0.0,0.10944949657149558,0.07858060000216938
32+35,300000000.0,-10,20,32,2,64,ESPRIT,-0.029204373907167635,0.15362322921085222,0.17721006356730878,0.16100270950844564,0.28040179576264634,0.28734620384092224,1.0,1.0,0.0,0.0,0.10944949657149558,0.0007848999985071714
32+35,300000000.0,-10,20,128,2,256,MUSIC,0.04759051636083882,0.05226485907879308,0.06384196312663812,0.05311873995796201,0.09675054413846364,0.10275578465655205,1.0,1.0,0.0,0.0,0.05472474828574779,0.07697809999990568
32+35,300000000.0,-10,20,128,2,256,ESPRIT,0.012317484989564953,0.05930506107458751,0.06558895568974443,0.05773089480681648,0.09923702446146106,0.10382110597956737,1.0,1.0,0.0,0.0,0.05472474828574779,0.0005710000004910398
32+35,300000000.0,-10,20,512,2,1024,MUSIC,-0.002452775027799348,0.031294309611052284,0.033951499429250326,0.025373945156668576,0.046193273282825936,0.05436853618395679,1.0,1.0,0.0,0.0,0.027362374142873895,0.0715156999985993
32+35,300000000.0,-10,20,512,2,1024,ESPRIT,0.00471935959434866,0.04429183476920322,0.051268632817019315,0.04257664908548531,0.07624096115506215,0.0854000184937356,1.0,1.0,0.0,0.0,0.027362374142873895,0.00048800000149640255
32+35,300000000.0,0,-10,32,2,64,MUSIC,1.942145303966544,6.858274806063728,8.591604920699714,6.19220673665161,12.822412669871593,15.802130940998914,0.1,0.1,0.5,0.0,3.4085151390897366,0.07598820000021078
32+35,300000000.0,0,-10,32,2,64,ESPRIT,12.05302321044093,15.06706791886025,20.038343557753752,10.94010042191954,30.35920045357722,34.29922325700691,0.2,0.2,0.7,0.0,3.4085151390897366,0.0005279999995764229
32+35,300000000.0,0,-10,128,2,256,MUSIC,1.19015103829975,1.8953155461329108,2.5842202353444788,1.1997051710467974,5.0042037818084735,5.372021688294348,0.2,0.8,0.1,0.0,1.7042575695448683,0.07807210000009945
32+35,300000000.0,0,-10,128,2,256,ESPRIT,0.9192592149149,3.413396514693627,3.878119524614919,2.669090187006856,6.60365538916595,6.8217508344140185,0.0,0.3,0.2,0.0,1.7042575695448683,0.0005997999987812364
32+35,300000000.0,0,-10,512,2,1024,MUSIC,-0.05863443568738025,1.3483407087466133,1.6342495521813685,1.2605173796679536,2.4606968769894824,2.850134051595443,0.5,0.8,0.0,0.0,0.8521287847724341,0.0742220999991332
32+35,300000000.0,0,-10,512,2,1024,ESPRIT,0.0662817512783415,1.5536390546242864,1.8599005663665562,1.5223179056180136,2.8477802261936658,3.156109382538485,0.3,0.7,0.0,0.0,0.8521287847724341,0.0005842000000484404
32+35,300000000.0,0,0,32,2,64,MUSIC,-0.2614776839395794,0.9387952731957846,1.1745606459711173,0.6387821485329372,2.1541766522358903,2.2199367776007533,0.7,0.8,0.0,0.0,1.0778671278689191,0.07425470000089263
32+35,300000000.0,0,0,32,2,64,ESPRIT,-0.16294606308048526,1.4238938460214086,1.6651781060211477,1.8073253551077115,2.372365491499736,2.3725585130022724,0.4,0.6,0.0,0.0,1.0778671278689191,0.0005158000012670527
32+35,300000000.0,0,0,128,2,256,MUSIC,0.2777825174341809,0.4241003017146485,0.48800442293825036,0.35479807265345487,0.7978406218753042,0.8279205903180474,1.0,1.0,0.0,0.0,0.5389335639344596,0.07670709999911196
32+35,300000000.0,0,0,128,2,256,ESPRIT,0.042331229820071425,0.5495974204905627,0.6411648810485255,0.4614440318215639,0.935727654623019,1.05966747695925,0.9,1.0,0.0,0.0,0.5389335639344596,0.0005820999986099196
32+35,300000000.0,0,0,512,2,1024,MUSIC,-0.02350733295587574,0.2890187743484388,0.37826352777371003,0.26978217419181505,0.5485502892824907,0.6837444106542795,1.0,1.0,0.0,0.0,0.2694667819672298,0.0758255000000645
32+35,300000000.0,0,0,512,2,1024,ESPRIT,-0.03343139008044706,0.3194918500324812,0.4227471940043054,0.26767914117795527,0.6482510191036458,0.8087812261132117,1.0,1.0,0.0,0.0,0.2694667819672298,0.0006088999989515287
32+35,300000000.0,0,10,32,2,64,MUSIC,-0.15591776328615137,0.2721773389030917,0.35856080534364954,0.20308288462440222,0.5191869739067991,0.6731971950933378,1.0,1.0,0.0,0.0,0.34085151390897367,0.07627639999918756
32+35,300000000.0,0,10,32,2,64,ESPRIT,-0.1351659652049763,0.4294964926249941,0.5204728037933775,0.42623455801386867,0.8008588181442853,0.8203328704775477,1.0,1.0,0.0,0.0,0.34085151390897367,0.0005125000006955815
32+35,300000000.0,0,10,128,2,256,MUSIC,0.07493435710167666,0.12259108429941834,0.1337976040552009,0.12570143041175208,0.19552430527446918,0.1995157407264907,1.0,1.0,0.0,0.0,0.17042575695448683,0.07396280000011757
32+35,300000000.0,0,10,128,2,256,ESPRIT,-0.012249979359058314,0.16596837125037806,0.19685435480889962,0.1439615206038504,0.317995859561845,0.3289926100984391,1.0,1.0,0.0,0.0,0.17042575695448683,0.0005048999983046087
32+35,300000000.0,0,10,512,2,1024,MUSIC,-0.00537391182463663,0.09734815135817039,0.11799601999037009,0.09992125434708182,0.1530359866340334,0.19669380679466864,1.0,1.0,0.0,0.0,0.08521287847724342,0.07473370000207069
32+35,300000000.0,0,10,512,2,1024,ESPRIT,-0.011478887789557834,0.11206928745666356,0.1400284221687263,0.10038613428893559,0.2035830693859249,0.25299619310445065,1.0,1.0,0.0,0.0,0.08521287847724342,0.0004672999993999838
32+35,300000000.0,0,20,32,2,64,MUSIC,-0.056517795176704244,0.08480406417085719,0.11608880175047269,0.05891316651292465,0.1537801473411808,0.21302887318645075,1.0,1.0,0.0,0.0,0.10778671278689192,0.06658839999909105
32+35,300000000.0,0,20,32,2,64,ESPRIT,-0.04938403058395317,0.13740330926373992,0.16580669024936798,0.13539629446644882,0.260295039245634,0.2654953613636513,1.0,1.0,0.0,0.0,0.10778671278689192,0.000456300000223564
32+35,300000000.0,0,20,128,2,256,MUSIC,0.02247630778783997,0.036748938024999275,0.04057174519844642,0.03895566416224901,0.05578911625003503,0.06179477875287126,1.0,1.0,0.0,0.0,0.05389335639344596,0.0637947000004715
32+35,300000000.0,0,20,128,2,256,ESPRIT,-0.0063741206429320536,0.053751476345069715,0.06336178037751364,0.037434190622948726,0.10557712369463094,0.10658031910859714,1.0,1.0,0.0,0.0,0.05389335639344596,0.00041460000011284137
32+35,300000000.0,0,20,512,2,1024,MUSIC,-0.0034514698301019594,0.02893343263943089,0.03669643472875745,0.02875138341249237,0.046542347226913576,0.0640553905241044,1.0,1.0,0.0,0.0,0.02694667819672298,0.06977679999909014
32+35,300000000.0,0,20,512,2,1024,ESPRIT,-0.0036515344777259553,0.03680305513646586,0.04546570106688679,0.03065083547517379,0.06448632524093509,0.07992033638319927,1.0,1.0,0.0,0.0,0.02694667819672298,0.00042069999926752644
32+35,300000000.0,10,-10,32,2,64,MUSIC,1.7786058915596024,6.251011839304421,7.2612213740125755,5.669762592807883,12.16954351945467,12.602168575235625,0.0,0.0,0.6,0.0,3.461096979247161,0.07172450000234676
32+35,300000000.0,10,-10,32,2,64,ESPRIT,6.617511883202738,11.542790202792816,18.61266253242688,7.079738556700793,24.500272836923816,37.069590892220916,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.09999999999999998,3.461096979247161,0.0006053000015526777
32+35,300000000.0,10,-10,128,2,256,MUSIC,0.8131025958489648,2.639041125722707,3.2148657518740755,2.3137936870215348,4.960282867654501,5.777230129469348,0.2,0.5,0.1,0.0,1.7305484896235805,0.06759920000149577
32+35,300000000.0,10,-10,128,2,256,ESPRIT,0.655515581191102,2.886617052536357,3.4249650314229783,2.745328977748172,5.073341831692884,5.872893268329958,0.1,0.4,0.1,0.0,1.7305484896235805,0.00045369999952526996
32+35,300000000.0,10,-10,512,2,1024,MUSIC,0.18615080631795555,1.6624042928887022,1.9170244609598328,1.5143822291168307,2.8923055266563016,2.95098072372315,0.4,0.6,0.0,0.0,0.8652742448117903,0.07054120000066177
32+35,300000000.0,10,-10,512,2,1024,ESPRIT,0.2363930180179458,1.695652954577973,2.100391517584146,1.2922661428912692,3.570974461914527,3.9851214577051355,0.4,0.8,0.0,0.0,0.8652742448117903,0.0004578000007313676
32+35,300000000.0,10,0,32,2,64,MUSIC,0.03498024442462002,0.8979579013655161,1.154882875297782,0.5852718945997255,1.9370167357808445,2.03517590444848,0.6,0.9,0.0,0.0,1.0944949657149559,0.06528560000060679
32+35,300000000.0,10,0,32,2,64,ESPRIT,-0.4205935589136763,1.0302500596394386,1.2965068806595328,0.6817137714091324,2.045119325416234,2.2919864811173,0.6,0.9,0.0,0.0,1.0944949657149559,0.0005406000009315903
32+35,300000000.0,10,0,128,2,256,MUSIC,0.028186727849210946,0.48075739032767706,0.5268340208939041,0.504079077198921,0.7362690416582749,0.7434726497764376,1.0,1.0,0.0,0.0,0.5472474828574779,0.06775980000202253
32+35,300000000.0,10,0,128,2,256,ESPRIT,-0.13262989288143104,0.5092348322688931,0.6141105900720026,0.4274023922641472,0.9190546716467192,1.010114986281121,0.9,1.0,0.0,0.0,0.5472474828574779,0.00047590000212949235
32+35,300000000.0,10,0,512,2,1024,MUSIC,0.006115463202705662,0.3117781358417817,0.3824863057371523,0.2519205037750636,0.5049204359877031,0.6644574039172431,1.0,1.0,0.0,0.0,0.27362374142873896,0.06280310000238387
32+35,300000000.0,10,0,512,2,1024,ESPRIT,-0.06606822496928011,0.2580483198410374,0.3831747057724285,0.17154680699171543,0.3878334603815527,0.728400342641319,0.9,1.0,0.0,0.0,0.27362374142873896,0.00043260000074951677
32+35,300000000.0,10,10,32,2,64,MUSIC,-0.08729596296572595,0.25874700276357565,0.35287687838103593,0.1478546440304287,0.6717341293737534,0.7018619766147367,1.0,1.0,0.0,0.0,0.3461096979247161,0.06366899999829911
32+35,300000000.0,10,10,32,2,64,ESPRIT,-0.21382958706206487,0.3162669987827112,0.42062216045317213,0.1800986054443463,0.7629569004882537,0.7891659819290328,1.0,1.0,0.0,0.0,0.3461096979247161,0.0004256999982317211
32+35,300000000.0,10,10,128,2,256,MUSIC,-0.011001401273297694,0.12392394351937544,0.1405393060628667,0.1463937530662518,0.19241417687097204,0.19505740570537958,1.0,1.0,0.0,0.0,0.17305484896235804,0.059956800000691146
32+35,300000000.0,10,10,128,2,256,ESPRIT,-0.0785739426545918,0.16309944705990437,0.2128538154487904,0.12595522100188727,0.3356177934063188,0.3961188899682742,1.0,1.0,0.0,0.0,0.17305484896235804,0.00043030000051658135
32+35,300000000.0,10,10,512,2,1024,MUSIC,-0.001765705768960224,0.08141788374923013,0.10842175450435769,0.06861027980749768,0.13822167159636894,0.19379262323158622,1.0,1.0,0.0,0.0,0.08652742448117902,0.06978870000148163
32+35,300000000.0,10,10,512,2,1024,ESPRIT,-0.029776582926182016,0.07121491883043411,0.11603911668104602,0.041733916368346335,0.10818529803538661,0.22326676140912072,1.0,1.0,0.0,0.0,0.08652742448117902,0.0005424999981187284
32+35,300000000.0,10,20,32,2,64,MUSIC,-0.03728097870636375,0.08537337650878526,0.1138837294898917,0.05756859989076446,0.22381092834467378,0.22898455370496923,1.0,1.0,0.0,0.0,0.10944949657149558,0.06458480000219424
32+35,300000000.0,10,20,32,2,64,ESPRIT,-0.07484568762732521,0.10316088609536962,0.13536595930536377,0.0579071888089322,0.24847596663099872,0.2558278622975802,1.0,1.0,0.0,0.0,0.10944949657149558,0.00044069999967177864
32+35,300000000.0,10,20,128,2,256,MUSIC,-0.005436995565470859,0.036128492622206035,0.042911487689636256,0.04349701960325003,0.06035678467557215,0.06042419038973845,1.0,1.0,0.0,0.0,0.05472474828574779,0.06289159999960248
32+35,300000000.0,10,20,128,2,256,ESPRIT,-0.028425256583262382,0.05298524577133179,0.07058194623509143,0.03881875221766862,0.11227016421799013,0.1329737527241908,1.0,1.0,0.0,0.0,0.05472474828574779,0.00043740000000980217
32+35,300000000.0,10,20,512,2,1024,MUSIC,-0.002234815451402206,0.02327660179218096,0.03309159256445057,0.01722776513766977,0.041780659103623545,0.06283999219048968,1.0,1.0,0.0,0.0,0.027362374142873895,0.06501069999922038
32+35,300000000.0,10,20,512,2,1024,ESPRIT,-0.010203287371809467,0.022903100605092774,0.036929788287315635,0.0144880732783772,0.03340276726660335,0.07020260558853604,1.0,1.0,0.0,0.0,0.027362374142873895,0.0004847000009249314
32+35,300000000.0,50,-10,32,2,64,MUSIC,-4.86120855656562,9.694373169816249,13.08199417388036,7.082911533125721,13.92825630066175,24.190143195299683,0.0,0.1,0.8,0.0,5.302708216096335,0.07101979999879404
32+35,300000000.0,50,-10,32,2,64,ESPRIT,-10.189234903015006,15.669269344040757,23.465407434777614,10.628916243987494,38.858449260994604,47.69677319164468,0.1,0.4,0.6,0.0,5.302708216096335,0.00046019999899726827
32+35,300000000.0,50,-10,128,2,256,MUSIC,0.4543006062502826,1.5345244522195514,2.1861064839108084,0.8104365185531925,3.895196983333627,4.1254900125966,0.6,0.7,0.0,0.0,2.6513541080481673,0.06415610000021843
32+35,300000000.0,50,-10,128,2,256,ESPRIT,0.49274828499184264,2.216346337801658,2.5939328318303567,1.8827158119125187,3.8949296265860416,4.30156551724573,0.2,0.6,0.0,0.0,2.6513541080481673,0.0004564000000755186
32+35,300000000.0,50,-10,512,2,1024,MUSIC,0.9097843372429011,1.878664366244837,2.4653837471309967,1.1919273793810774,4.3154935559321235,4.422612255765849,0.4,0.6,0.0,0.0,1.3256770540240836,0.0702008999987811
32+35,300000000.0,50,-10,512,2,1024,ESPRIT,0.700607817025,2.4190187894024255,2.7775226815279574,2.1245629398279853,4.1954424704758715,4.542485126055299,0.2,0.4,0.0,0.0,1.3256770540240836,0.0004689999977927073
32+35,300000000.0,50,0,32,2,64,MUSIC,0.19885972556321221,1.589259052416029,1.9274510455340415,1.415303915875807,3.147921502105482,3.1887237767742955,0.4,0.7,0.0,0.0,1.6768635730152757,0.07620289999977103
