true_frequency_hz,assumed_frequency_hz,absolute_frequency_error_hz,relative_frequency_error,true_angle_deg,predicted_angle_deg,estimated_angle_deg,prediction_error_deg,aoa_error_deg,is_physically_feasible,used_alias_frequency,sampling_rate_hz,sampling_rates_mhz
300000000,280000000,-20000000,-0.06666666666666667,-50,-55.16113608148917,-55.18799800616405,-0.026861924674882687,-5.187998006164051,True,False,,32+35
300000000,290000000,-10000000,-0.03333333333333333,-50,-52.4159785452794,-52.40326206103428,0.012716484245117954,-2.403262061034283,True,False,,32+35
300000000,295000000,-5000000,-0.016666666666666666,-50,-51.171688544317654,-51.192784092959506,-0.0210955486418527,-1.1927840929595064,True,False,,32+35
300000000,298000000,-2000000,-0.006666666666666667,-50,-50.46048168279226,-50.427375768540756,0.03310591425150733,-0.427375768540756,True,False,,32+35
300000000,299000000,-1000000,-0.0033333333333333335,-50,-50.228914992072234,-50.207678637525966,0.021236354546267933,-0.20767863752596583,True,False,,32+35
300000000,299500000,-500000,-0.0016666666666666668,-50,-50.11412961675885,-50.13854045635642,-0.024410839597564404,-0.13854045635641654,True,False,,32+35
300000000,299900000,-100000,-0.0003333333333333333,-50,-50.02277380101826,-50.005375611672015,0.017398189346245374,-0.005375611672015168,True,False,,32+35
300000000,300000000,0,0.0,-50,-50.0,-50.00001635602368,-1.6356023678554266e-05,-1.6356023678554266e-05,True,False,,32+35
300000000,300100000,100000,0.0003333333333333333,-50,-49.97725214842775,-49.99482525927409,-0.017573110846335283,0.005174740725912841,True,False,,32+35
300000000,300500000,500000,0.0016666666666666668,-50,-49.88651912891439,-49.86334211856978,0.023177010344603843,0.1366578814302173,True,False,,32+35
300000000,301000000,1000000,0.0033333333333333335,-50,-49.7736801096671,-49.79354701514051,-0.019866905473413965,0.2064529848594887,True,False,,32+35
300000000,302000000,2000000,0.006666666666666667,-50,-49.549900629633555,-49.581219599335554,-0.03131896970199932,0.41878040066444555,True,False,,32+35
300000000,305000000,5000000,0.016666666666666666,-50,-48.893284476814365,-48.87929477593613,0.013989700878234146,1.1207052240638689,True,False,,32+35
300000000,310000000,10000000,0.03333333333333333,-50,-47.84511919375526,-47.81582277433242,0.02929641942284178,2.1841772256675824,True,False,,32+35
300000000,320000000,20000000,0.06666666666666667,-50,-45.90332364318569,-45.911500405389056,-0.008176762203362387,4.088499594610944,True,False,,32+35
300000000,12000000.0,-288000000.0,-0.96,-50,nan,-60.0,nan,-10.0,False,True,32000000.0,32+35
300000000,-15000000.0,-315000000.0,-1.05,-50,nan,60.000000000001705,nan,110.0000000000017,False,True,35000000.0,32+35
300000000,280000000,-20000000,-0.06666666666666667,-10,-10.72245024224751,-10.752789068358801,-0.030338826111291795,-0.7527890683588012,True,False,,32+35
300000000,290000000,-10000000,-0.03333333333333333,-10,-10.348561230269015,-10.380148171423944,-0.031586941154928994,-0.38014817142394364,True,False,,32+35
300000000,295000000,-5000000,-0.016666666666666666,-10,-10.171279155957968,-10.192524959496607,-0.021245803538638697,-0.1925249594966072,True,False,,32+35
300000000,298000000,-2000000,-0.006666666666666667,-10,-10.067811063366563,-10.034622329165275,0.03318873420128732,-0.03462232916527519,True,False,,32+35
300000000,299000000,-1000000,-0.0033333333333333335,-10,-10.033790360245394,-10.00968973903318,0.02410062121221479,-0.009689739033179379,True,False,,32+35
300000000,299500000,-500000,-0.0016666666666666668,-10,-10.01686653449422,-10.00343565209821,0.013430882396010091,-0.0034356520982097294,True,False,,32+35
300000000,299900000,-100000,-0.0003333333333333333,-10,-10.003368737640553,-10.00042003925707,0.002948698383482551,-0.0004200392570705702,True,False,,32+35
300000000,300000000,0,0.0,-10,-10.0,-10.000002341398869,-2.3413988685661025e-06,-2.3413988685661025e-06,True,False,,32+35
300000000,300100000,100000,0.0003333333333333333,-10,-9.99663354232544,-9.999595379217743,-0.0029618368923021166,0.00040462078225722564,True,False,,32+35
300000000,300500000,500000,0.0016666666666666668,-10,-9.983190464814946,-9.996605582483374,-0.013415117668428067,0.003394417516625836,True,False,,32+35
300000000,301000000,1000000,0.0033333333333333335,-10,-9.96643763898195,-9.990449417214156,-0.024011778232207348,0.009550582785843531,True,False,,32+35
300000000,302000000,2000000,0.006666666666666667,-10,-9.933100965395102,-9.966444184333483,-0.03334321893838066,0.03355581566651722,True,False,,32+35
300000000,305000000,5000000,0.016666666666666666,-10,-9.834422417737935,-9.809981966639993,0.024440451097941462,0.19001803336000656,True,False,,32+35
300000000,310000000,10000000,0.03333333333333333,-10,-9.67426500063823,-9.642581077397143,0.031683923241086376,0.35741892260285724,True,False,,32+35
