sampling_rates_mhz,frequency_hz,angle_deg,snr_db,snapshots_per_branch,num_branches,total_snapshots,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
Nyquist_3000,300000000.0,-50,-10,128,1,128,MUSIC,0.14777202549837937,2.965067878782088,4.648876448098403,1.0848899976884852,9.896898035401348,9.948449017700673,0.4,0.6,0.2,0.0
Nyquist_3000,300000000.0,-50,0,128,1,128,MUSIC,-0.09557670507699001,0.8622603823345578,1.1556084152564758,0.7001801907487959,2.155761956972902,2.2675591789433613,0.7,0.8,0.0,0.0
Nyquist_3000,300000000.0,-50,10,128,1,128,MUSIC,-0.024104642139548816,0.27390917580493196,0.3437958550412599,0.2845057390507648,0.5074898193356083,0.593750504780497,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,-50,20,128,1,128,MUSIC,-0.0077255145992062065,0.08747164062906947,0.10914841554959731,0.09603342767560719,0.1487744936632282,0.17771913423066502,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,-10,-10,128,1,128,MUSIC,0.6785069173346312,3.9378979752307273,4.797461512308958,2.5521993540619414,7.382420815865898,7.909080567565973,0.1,0.4,0.4,0.0
Nyquist_3000,300000000.0,-10,0,128,1,128,MUSIC,0.0788149302163295,0.7962830923124156,1.0428532911771566,0.5988051785791226,1.7340458464496347,2.078199506649714,0.8,0.9,0.0,0.0
Nyquist_3000,300000000.0,-10,10,128,1,128,MUSIC,0.024171786687406004,0.2502687921545155,0.31559479558599596,0.16469782740073935,0.5112510515602813,0.6121367520448846,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,-10,20,128,1,128,MUSIC,0.006948865903410884,0.07578574651325862,0.09766476561046726,0.04745548927184284,0.1658419750590248,0.19057485725051956,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,0,-10,128,1,128,MUSIC,1.6939798311956207,5.117471579340327,5.87157547806427,6.016003516256241,7.415963965851905,8.881645760599662,0.1,0.1,0.6,0.0
Nyquist_3000,300000000.0,0,0,128,1,128,MUSIC,0.3499311774429944,0.8796926693393091,0.9997457535265414,0.9268615191460069,1.4369056818326027,1.5622652976169604,0.6,1.0,0.0,0.0
Nyquist_3000,300000000.0,0,10,128,1,128,MUSIC,0.09690831549578441,0.2431885030463435,0.28142129558269274,0.24471712758524505,0.40954481041190965,0.4456161776240092,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,0,20,128,1,128,MUSIC,0.03251284864963168,0.07294391870702067,0.08773308680133511,0.07066743202702414,0.13255571315059908,0.14399999386601564,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,10,-10,128,1,128,MUSIC,1.6761662458634874,4.772035546148684,5.60899455524322,4.4896829640477804,7.495702169197755,9.773177264591775,0.0,0.2,0.4,0.0
Nyquist_3000,300000000.0,10,0,128,1,128,MUSIC,0.43164738430634253,0.8325037631165765,1.0065043293095686,0.7092931013955157,1.323942573524913,1.7469636159275452,0.6,0.9,0.0,0.0
